num,food_data_name,food_data_en,safety,folder_name,status,in_food_data,in_folder,mismatch
1,호박,pumpkin,SAFE,001_pumpkin,4_posted,True,True,False
2,당근,carrot,CAUTION,002_carrot,4_posted,True,True,False
3,블루베리,blueberry,SAFE,003_blueberry,4_posted,True,True,False
4,체리,cherry,CAUTION,004_cherry,4_posted,True,True,False
5,고구마,sweet_potato,SAFE,005_sweet_potato,4_posted,True,True,False
6,사과,apple,SAFE,006_apple,4_posted,True,True,False
7,파인애플,pineapple,CAUTION,007_pineapple,4_posted,True,True,False
8,바나나,banana,SAFE,008_banana,4_posted,True,True,False
9,브로콜리,broccoli,CAUTION,009_broccoli,4_posted,True,True,False
10,수박,watermelon,SAFE,010_watermelon,4_posted,True,True,False
11,딸기,strawberry,SAFE,011_strawberry,4_posted,True,True,False
12,망고,mango,CAUTION,012_mango,4_posted,True,True,False
13,오렌지,orange_오렌지,CAUTION,013_orange_오렌지,4_posted,True,True,True
14,배,pear_배,SAFE,014_pear_배,4_posted,True,True,True
15,키위,kiwi_키위,CAUTION,015_kiwi_키위,4_posted,True,True,True
16,파파야,papaya_파파야,CAUTION,016_papaya_파파야,4_posted,True,True,True
17,복숭아,peach_복숭아,CAUTION,017_peach_복숭아,4_posted,True,True,True
18,흰쌀밥,rice_흰쌀밥,SAFE,018_rice_흰쌀밥,4_posted,True,True,True
19,오이,cucumber_오이,SAFE,019_cucumber_오이,4_posted,True,True,True
20,프링글스,pringles_프링글스,FORBIDDEN,020_pringles_프링글스,4_posted,True,True,True
21,소시지,sausage_소시지,CAUTION,021_sausage_소시지,4_posted,True,True,True
22,아보카도,avocado_아보카도,FORBIDDEN,022_avocado_아보카도,4_posted,True,True,True
23,콜라,coca_cola_콜라,FORBIDDEN,023_coca_cola_콜라,4_posted,True,True,True
24,올리브,olive_올리브,CAUTION,024_olive_올리브,4_posted,True,True,True
25,블랙베리,blackberry_블랙베리,SAFE,025_blackberry_블랙베리,4_posted,True,True,True
26,시금치,spinach_시금치,SAFE,026_spinach_시금치,4_posted,True,True,True
27,애호박,zucchini_애호박,SAFE,027_zucchini_애호박,4_posted,True,True,True
28,닭고기,chicken_닭고기,SAFE,028_chicken_닭고기,4_posted,True,True,True
29,수란,poached_egg_수란,SAFE,029_poached_egg_수란,4_posted,True,True,True
30,견과류,nuts_견과류,CAUTION,030_nuts_견과류,4_posted,True,True,True
31,삶은달걀,boiled_egg_삶은달걀,SAFE,031_boiled_egg_삶은달걀,4_posted,True,True,True
32,우유,milk_우유,FORBIDDEN,032_milk_우유,4_posted,True,True,True
33,바게트,baguette,SAFE,033_baguette,1_cover_only,True,True,False
34,단팥빵,red_bean_bread,SAFE,034_red_bean_bread,1_cover_only,True,True,False
35,감자,potato_감자,SAFE,035_potato_감자,4_posted,True,True,True
36,소고기,beef_소고기,CAUTION,036_beef_소고기,4_posted,True,True,True
37,콜리플라워,cauliflower,SAFE,037_cauliflower,1_cover_only,True,True,False
38,숙주나물,bean_sprouts,SAFE,038_bean_sprouts,1_cover_only,True,True,False
39,요거트,yogurt,SAFE,039_yogurt,1_cover_only,True,True,False
40,연근,lotus_root,SAFE,040_lotus_root,1_cover_only,True,True,False
41,우엉,burdock_우엉,SAFE,041_burdock_우엉,4_posted,True,True,True
42,오트밀,oatmeal,SAFE,042_oatmeal,1_cover_only,True,True,False
43,멜론,melon_멜론,SAFE,043_melon_멜론,3_approved,True,True,True
44,아몬드,almonds,CAUTION,044_almonds,1_cover_only,True,True,False
45,달걀노른자,egg_yolk,CAUTION,045_egg_yolk,1_cover_only,True,True,False
46,석류,pomegranate,SAFE,046_pomegranate,1_cover_only,True,True,False
47,고등어,mackerel,SAFE,047_mackerel,1_cover_only,True,True,False
48,두부,tofu,SAFE,048_tofu,1_cover_only,True,True,False
49,연어,salmon_연어,SAFE,049_salmon_연어,4_posted,True,True,True
50,자두,plum,CAUTION,050_plum,1_cover_only,True,True,False
51,양파,onion_양파,FORBIDDEN,051_onion_양파,3_approved,True,True,True
52,바나나우유,banana_milk_바나나우유,CAUTION,052_banana_milk_바나나우유,3_approved,True,True,True
53,마늘,garlic_마늘,FORBIDDEN,053_garlic_마늘,3_approved,True,True,True
54,단호박,sweet_pumpkin,CAUTION,054_sweet_pumpkin,4_posted,True,True,False
55,포도,grape_포도,FORBIDDEN,055_grape_포도,4_posted,True,True,True
56,건포도,raisin,FORBIDDEN,056_raisin,4_posted,True,True,False
57,초콜릿,chocolate,FORBIDDEN,057_chocolate,1_cover_only,True,True,False
58,김치,kimchi,SAFE,058_kimchi,1_cover_only,True,True,False
59,메추리알,quail_egg,SAFE,059_quail_egg,1_cover_only,True,True,False
60,후라이드치킨,fried_chicken_후라이드치킨,SAFE,060_fried_chicken_후라이드치킨,3_approved,True,True,True
61,양념치킨,yangnyeom_chicken_양념치킨,FORBIDDEN,061_yangnyeom_chicken_양념치킨,4_posted,True,True,True
62,떡국,tteokguk,CAUTION,062_tteokguk,1_cover_only,True,True,False
63,북어,dried_fish,SAFE,063_dried_fish,1_cover_only,True,True,False
64,김밥,kimbap,CAUTION,064_kimbap,1_cover_only,True,True,False
65,비빔밥,bibimbap,FORBIDDEN,065_bibimbap,1_cover_only,True,True,False
66,짜장면,jjajangmyeon_짜장면,FORBIDDEN,066_jjajangmyeon_짜장면,3_approved,True,True,False
67,우동,udon,CAUTION,067_udon,1_cover_only,True,True,False
68,칼국수,kalguksu_칼국수,CAUTION,068_kalguksu_칼국수,3_approved,True,True,True
69,냉면,naengmyeon_냉면,SAFE,069_naengmyeon_냉면,3_approved,True,True,True
70,라면,ramen,FORBIDDEN,070_ramen,1_cover_only,True,True,False
71,토스트,toast_토스트,CAUTION,071_toast_토스트,3_approved,True,True,True
72,샌드위치,sandwich_샌드위치,SAFE,072_sandwich_샌드위치,3_approved,True,True,True
73,삼겹살,samgyeopsal_삼겹살,CAUTION,073_samgyeopsal_삼겹살,4_posted,True,True,True
74,불고기,bulgogi,FORBIDDEN,074_bulgogi,1_cover_only,True,True,False
75,케이크,cake,FORBIDDEN,075_cake,1_cover_only,True,True,False
76,도넛,donut_도넛,FORBIDDEN,076_donut_도넛,3_approved,True,True,True
77,아이스크림,icecream_아이스크림,FORBIDDEN,077_icecream_아이스크림,4_posted,True,True,True
78,브라우니,brownie,FORBIDDEN,078_brownie,1_cover_only,True,True,False
79,머핀,muffin,CAUTION,079_muffin,1_cover_only,True,True,False
80,팬케이크,pancake,CAUTION,080_pancake,1_cover_only,True,True,False
81,와플,waffle,CAUTION,081_waffle,1_cover_only,True,True,False
82,시리얼,cereal,CAUTION,082_cereal,1_cover_only,True,True,False
83,그래놀라,granola,CAUTION,083_granola,1_cover_only,True,True,False
84,닭꼬치,chicken_skewer_닭꼬치,SAFE,084_chicken_skewer_닭꼬치,3_approved,True,True,False
85,닭강정,dakgangjeong,FORBIDDEN,085_dakgangjeong,1_cover_only,True,True,False
86,미트볼,meatball,CAUTION,086_meatball,1_cover_only,True,True,False
87,베이컨,bacon,FORBIDDEN,087_bacon,1_cover_only,True,True,False
88,버드와이저,budweiser_버드와이저,FORBIDDEN,088_budweiser_버드와이저,4_posted,True,True,True
89,카스맥주,cass_beer,FORBIDDEN,089_cass_beer,1_cover_only,True,True,False
90,치토스,cheetos_치토스,SAFE,090_cheetos_치토스,3_approved,True,True,True
91,크루아상,croissant,CAUTION,091_croissant,1_cover_only,True,True,False
92,도리토스,doritos,FORBIDDEN,092_doritos,1_cover_only,True,True,False
93,환타,fanta_환타,FORBIDDEN,093_fanta_환타,3_approved,True,True,True
94,킷캣,kitkat_킷캣,FORBIDDEN,094_kitkat_킷캣,4_posted,True,True,True
95,레이즈,lays,FORBIDDEN,095_lays,1_cover_only,True,True,False
96,밀키스,milkis_밀키스,FORBIDDEN,096_milkis_밀키스,3_approved,True,True,True
97,페리에,perrier,CAUTION,097_perrier,1_cover_only,True,True,False
98,피자,pizza,FORBIDDEN,098_pizza,1_cover_only,True,True,False
99,리세스,reeses,FORBIDDEN,099_reeses,1_cover_only,True,True,False
100,리츠,ritz,CAUTION,100_ritz,1_cover_only,True,True,False
101,스키틀즈,skittles,FORBIDDEN,101_skittles,1_cover_only,True,True,False
102,소주,soju_소주,FORBIDDEN,102_soju_소주,4_posted,True,True,True
103,스타벅스커피,starbucks_coffee,FORBIDDEN,103_starbucks_coffee,1_cover_only,True,True,False
104,스타버스트,starburst,FORBIDDEN,104_starburst,1_cover_only,True,True,False
105,치즈,cheese,CAUTION,105_cheese,4_posted,True,True,False
106,흰살생선,white_fish,SAFE,106_white_fish,1_cover_only,True,True,False
107,스프라이트,sprite,FORBIDDEN,107_sprite,1_cover_only,True,True,False
108,닭가슴살,chicken_breast,SAFE,108_chicken_breast,1_cover_only,True,True,False
109,새우,shrimp_새우,CAUTION,109_shrimp_새우,4_posted,True,True,True
110,라즈베리,raspberry,SAFE,110_raspberry,1_cover_only,True,True,False
111,코코넛,coconut,SAFE,111_coconut,1_cover_only,True,True,False
112,자몽,grapefruit,FORBIDDEN,112_grapefruit,1_cover_only,True,True,False
113,레몬,lemon,FORBIDDEN,113_lemon,1_cover_only,True,True,False
114,양배추,cabbage,SAFE,114_cabbage,1_cover_only,True,True,False
115,아스파라거스,asparagus,SAFE,115_asparagus,1_cover_only,True,True,False
116,비트,beet,SAFE,116_beet,1_cover_only,True,True,False
117,배추,napa_cabbage,SAFE,117_napa_cabbage,1_cover_only,True,True,False
118,상추,lettuce,SAFE,118_lettuce,1_cover_only,True,True,False
119,참치,tuna_참치,CAUTION,119_tuna_참치,4_posted,True,True,True
120,셀러리,celery_셀러리,CAUTION,120_celery_셀러리,4_posted,True,True,True
